bird_id,bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image,bird_tail_type,bird_crest_type,bird_bill_type,bird_leg_type,bird_state
,Phalacrocorax niger,Little Cormorant,Black/Grey/White/Brown,M/F,Pigeon +,images/bird_images/Little_Cormorant.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Tachybaptus ruficollis,Little Grebe,Brown/Black/White,M/F,Myna +,images/bird_images/Little_Grebe.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Mesophoyx intermedia ,Intermediate Egret ,White,M,Kite +,images/bird_images/Intermediate_Egret.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Bubulcus ibis,Cattle Egret,White/Yellow/Orange,M/F,Hen +,images/bird_images/Cattle_Egret.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Ardeola grayii ,Indian Pond-heron ,White/Brown/Red,M/F,Hen,images/bird_images/Indian_Pond_Heron.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Dendrocygna javanica,Lesser Whistling-duck,Brown/White,M/F,Hen +,images/bird_images/Lesser_Whistling_Duck.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas poecilorhyncha,Indian Spot-billed Duck (Spot-billed Duck),Brown/Blue/Green/White,M,Hen +,images/bird_images/Spot_Billed_Duck_M.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas poecilorhyncha,Indian Spot-billed Duck (Spot-billed Duck),Brown/Blue/White,F,Hen +,images/bird_images/Spot_Billed_Duck_F.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas acuta,Northern Pintail,Brown/Grey/White/Black/Yellow/Orange,M,Hen +,images/bird_images/Northern_Pintail_M.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas acuta,Northern Pintail,Brown,F,Hen +,images/bird_images/Northern_Pintail_F.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas clypeata,Northern Shoveller,Green/Brown/White/Black,M,Hen +,images/bird_images/Northern_Shoveller_M.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas clypeata,Northern Shoveller,Brown/White,F,Hen +,images/bird_images/Northern_Shoveller_F.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas penelope,Eurasian Wigeon,Grey/Brown/Black/White/Green,M,Hen +,images/bird_images/Eurasian_Wigeon_M.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Anas penelope,Eurasian Wigeon,Grey/Brown/Black/White,F,Hen +,images/bird_images/Eurasian_Wigeon_F.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Nettapus coromanelianus,Cotton Teal (Cotton Pygmy-goose),Black/White/Green/Grey,M,Hen -,images/bird_images/Cotton_Teal_M.jpg,NULL,NULL,NULL,NULL,Maharashtra
,Nettapus coromanelianus,Cotton Teal (Cotton Pygmy-goose),Brown/White/Green/Grey,F,Hen -,images/bird_images/Cotton_Teal_F.jpg,NULL,NULL,NULL,NULL,Maharashtra
