bird_id,bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image,bird_tail_type,bird_crest_type,bird_bill_type,bird_leg_type,bird_state
,,Greater Sand Plover,,,,,,,,,
,,Common Ringed Plover,,,,,,,,,
,,Little Ringed Plover,,,,,,,,,
,,Charadrius dubius jerdoni,,,,,,,,,
,,Charadrius a. alexandrinus,,,,,,,,,
,,Eurasian Curlew,,,,,,,,,
,,Western' Black-tailed Godwit,,,,,,,,,
,,Eurasian Whibrel,,,,,,,,,
,,Bar-tailed Godwit,,,,,,,,,
,,Terek Sandpiper,,,,,,,,,
,,Common Greenshank,,,,,,,,,
,,Wood Sandpiper,,,,,,,,,
,,Green Sandpiper,,,,,,,,,
,,Common Sandpiper,,,,,,,,,
,,Marsh Sandpiper,,,,,,,,,
,,Common Redshank,,,,,,,,,
,,Ruddy Turnstone,,,,,,,,,
,,Broad-billed Sandpiper,,,,,,,,,
,,Ruff (male),,,,,,,,,
,,Reeve (female),,,,,,,,,
,,Pectoral Sandipiper,,,,,,,,,
,,Curlew Sandpiper,,,,,,,,,
,,Dunlin,,,,,,,,,
,,Long-toed Stint,,,,,,,,,
,,Temminck's Stint,,,,,,,,,
,,Little Stint,,,,,,,,,
,,Sabderling,,,,,,,,,
,,Greater Painted-snipe,,,,,,,,,
,,Jack Snipe,,,,,,,,,
,,Pintail Snipe,,,,,,,,,
,,Wood Snipe,,,,,,,,,
,,Eurasian Woodcock,,,,,,,,,
,,Larus f. heuglini,,,,,,,,,
,,Steppe' Gull,,,,,,,,,
,,Great Black-headed Gull,,,,,,,,,
,,Slender-billed Gull,,,,,,,,,
,,Common Black-headed Gull,,,,,,,,,
,,Sooty Gull,,,,,,,,,
,,Little Tern,,,,,,,,,
,,Sternula albifrons pusilla/ sinensis,,,,,,,,,
,,Common Tern,,,,,,,,,
,,White-cheeked Tern,,,,,,,,,
,,Gull-billed Tern,,,,,,,,,
,,River Tern,,,,,,,,,
,,Caspian Tern,,,,,,,,,
,,Whiskered Tern,,,,,,,,,
,,White-winged Tern,,,,,,,,,
,,Indian Skimmer,,,,,,,,,
,,Chestniu-bellied Sandgrouse,,,,,,,,,
,,Painted Sandgrouse,,,,,,,,,
,,Rock Pigeon,,,,,,,,,
,,Green Imperial-pigeon,,,,,,,,,
,,Oriental Turtle-Dove,,,,,,,,,
,,Streptopelia Orientalis meena,,,,,,,,,
,,Laughing Dove,,,,,,,,,
,,Red Collared-dove,,,,,,,,,
,,Spotted Dove,,,,,,,,,
,,Eurasian Collared-dove,,,,,,,,,
,,Grey-fronted Green-pigeon,,,,,,,,,
,,Treron phoenicopterus chlorigaster,,,,,,,,,
,,Vernal Hnaging-parrot,,,,,,,,,
,,Malabar Parakeet,,,,,,,,,
,,Plum-headed Parakeet,,,,,,,,,
,,Rose-ringed Parakeet,,,,,,,,,
,,Alexandrian Parakeet,,,,,,,,,
,,Grey-billed Cuckoo,,,,,,,,,
,,Banded Bay Cuckoo,,,,,,,,,
,,Fork-tailed' Drongo Cuckoo,,,,,,,,,
,,Jacobian Cuckoo,,,,,,,,,
,,Chestnut-winged Cuckoo,,,,,,,,,
,,Asian Koel,,,,,,,,,
,,Indian Cuckoo,,,,,,,,,
,,Common Cuckoo,,,,,,,,,
,,Small Cuckoo,,,,,,,,,
,,Common Hawk-cuckoo,,,,,,,,,
,,Blue-faced Malkoha,,,,,,,,,
,,Sirkeer Malkoha,,,,,,,,,
,,Southern' Coucal,,,,,,,,,
,,Brown Hawk-owl,,,,,,,,,
,,Common Barn-owl,,,,,,,,,
,,Brown Fish-owl,,,,,,,,,
,,Dusky Eagle-owl,,,,,,,,,
,,Indian Eagle-owl,,,,,,,,,
,,Mottled Wood-owl,,,,,,,,,
,,Short-eared Owl,,,,,,,,,
,,Brown Wood-owl,,,,,,,,,
,,Indian Scops-owl,,,,,,,,,
,,Pallid Scops-owl,,,,,,,,,
,,Otus sunia s races,,,,,,,,,
,,Eurasian Scops-owl,,,,,,,,,
,,Spotted Owlet,,,,,,,,,
,,Forest Owlet,,,,,,,,,
,,Jungle Owlet,,,,,,,,,
,,Syke's Nightjar,,,,,,,,,
,,Indian Jungle Nightjar,,,,,,,,,
,,Indian Little Nightjar,,,,,,,,,
,,Savanna Nightjar,,,,,,,,,
,,Crested Treeswift,,,,,,,,,
,,Asian Palm-swift,,,,,,,,,
,,Indian Swiftlet,,,,,,,,,
,,Indian White-rumped Spinetail,,,,,,,,,
,,Little Swiftlet,,,,,,,,,
,,Blyth's Swift,,,,,,,,,
,,Alpine Swift,,,,,,,,,
,,European Roller,,,,,,,,,
,,Common Hoope,,,,,,,,,
,,Malabar Trogon,,,,,,,,,
,,Indian Roller,,,,,,,,,
,,Upupa epops ceylonensis,,,,,,,,,
,,Stork-billed Kingfisher,,,,,,,,,
,,Black-capped Kingfisher,,,,,,,,,
,,White-throated Kingfisher,,,,,,,,,
,,Black-backed Dwarf Kingfisher,,,,,,,,,
,,Lesser Pied Kingfisher,,,,,,,,,
,,Common Kingfisher,,,,,,,,,
,,Chestnut-headed Bee-eater,,,,,,,,,
,,European Bee-eater,,,,,,,,,
,,Blue-cheeked Bee-eater,,,,,,,,,
,,Blue-tailed Bee-eater,,,,,,,,,
,,Little Green Bee-eater,,,,,,,,,
,,Blue-bearded Bee-eater,,,,,,,,,
,,Malabar Grey Hornbill,,,,,,,,,
,,Indian Grey Hornbill,,,,,,,,,
,,Great Pied Hornbill,,,,,,,,,
,,Coppersmith Barbet,,,,,,,,,
,,White-cheeked Barbet,,,,,,,,,
,,Brown-headed Barbet,,,,,,,,,
,,Eurasian Wryneck,,,,,,,,,
,,Heart-spotted Woodpecker,,,,,,,,,
,,Indian Pygmy Woodpecker,,,,,,,,,
,,Yellow-fronted Pied Woodpecker,,,,,,,,,
,,Streak-throated Woodpecker,,,,,,,,,
,,Picus chlorophus chlorigaster/ wellsi,,,,,,,,,
,,Rufous Woodpecker,,,,,,,,,
,,Black-rumped Flameback,,,,,,,,,
,,White-naped Flameback,,,,,,,,,
,,Greater Flameback,,,,,,,,,
,,White-bellied Woodpecker,,,,,,,,,
,,Indian Pitta,,,,,,,,,
,,Singing Bushlark ,,,,,,,,,
,,Indian Bushlark,,,,,,,,,
,,Oriental Skylark,,,,,,,,,
,,Jerdon's Bushlark,,,,,,,,,
,,Malabar Lark,,,,,,,,,
,,Syke's Lark,,,,,,,,,
,,Ashy-crowned Finch-lark ,,,,,,,,,
,,Bimaculated Lark,,,,,,,,,
,,Rufous-tailed Lark,,,,,,,,,
,,Greater Short-toed Lark,,,,,,,,,
,,Calandrella brachy dactyla dukhunensis,,,,,,,,,
,,Sand Lark,,,,,,,,,
,,Grey-throated Sand-martin,,,,,,,,,
,,Dusky Crag-martin,,,,,,,,,
,,Eurasian Crag-martin,,,,,,,,,
,,Riparia d. diluta,,,,,,,,,
,,Northern House-martin,,,,,,,,,
,,Streak-throated Swallow,,,,,,,,,
,,Barn Swallow,,,,,,,,,
,,Red-rumped Swallow,,,,,,,,,
,,Cecropis daurica (part),,,,,,,,,
,,Wire-tailed Swallow,,,,,,,,,
,,Motacilla flava feldegg,,,,,,,,,
,,Motacilla flava thunberg,,,,,,,,,
,,Motacilla flava beema,,,,,,,,,
,,Grey Wagtail,,,,,,,,,
,,Citrine Wagtail,,,,,,,,,
,,Forest Wagtail,,,,,,,,,
,,White Wagtail,,,,,,,,,
,,Motacilla alba personata,,,,,,,,,
,,White-browed Wagtail,,,,,,,,,
,,Anthus hodgsoni,,,,,,,,,
,,Tree Pipit,,,,,,,,,
,,Anthus trivalis haringtoni,,,,,,,,,
,,Richard's Pipit,,,,,,,,,
,,Paddyfield Pipit,,,,,,,,,
,,Tawney Pipit,,,,,,,,,
,,Blyth's Pipit,,,,,,,,,
,,Long-billed Pipit,,,,,,,,,
,,Common Woodshrike,,,,,,,,,
,,Pied Flycatcher-shrike,,,,,,,,,
,,Black-winged Cuckooshrike,,,,,,,,,
,,Ashy Woodswallow,,,,,,,,,
,,Black-headed Cuckooshrike,,,,,,,,,
,,Large Cuckooshrike,,,,,,,,,
,,Long-tailed Minivet,,,,,,,,,
,,Oragne Minivet,,,,,,,,,
,,White-bellied Minivet,,,,,,,,,
,,Small Minivet,,,,,,,,,
,,Rosy Minivet,,,,,,,,,
,,Ashy Minivet,,,,,,,,,
,,Red-vented Bulbul,,,,,,,,,
,,Red-whiskered Bulbul,,,,,,,,,
,,White-eared Bulbul,,,,,,,,,
,,Square-tailed Black Bulbul,,,,,,,,,
,,Black-crested Bulbul,,,,,,,,,
,,White-browed Bulbul,,,,,,,,,
,,Yellow-browed Bulbul,,,,,,,,,
,,Common Iora,,,,,,,,,
,,Gold-fronted Leafbird,,,,,,,,,
,,Asian Fairy-bluebird,,,,,,,,,
,,Jerdon's Leafbird,,,,,,,,,
,,Rufous-backed' Long-tailed Shrike,,,,,,,,,
,,Great Grey Shrike,,,,,,,,,
,,Brown Shrike,,,,,,,,,
,,Isabelline Shrike,,,,,,,,,
,,Bay-backed Shrike,,,,,,,,,
,,Black-naped Blue Monarch,,,,,,,,,
,,Asian Paradise Flycatcher,,,,,,,,,
,,Terpsiphone paradisi (part),,,,,,,,,
,,White-browed Fantail,,,,,,,,,
,,White-spotted Fantail,,,,,,,,,
,,Blue Rock-thrush,,,,,,,,,
,,Blue-headed Rock Thrush,,,,,,,,,
,,Orange-headed Thrush,,,,,,,,,
,,Malabar Whistling-thrush,,,,,,,,,
,,Black-throated Thrush,,,,,,,,,
,,Tickell's Thrush,,,,,,,,,
,,Eyebrowed Thrush,,,,,,,,,
,,Indian Blackbird,,,,,,,,,
,,Nilgiri Thrush,,,,,,,,,
,,Siberian Thrush,,,,,,,,,
,,Indian Blue Robin,,,,,,,,,
,,Bluethroat,,,,,,,,,
,,Luscinia svecica pallidogularis,,,,,,,,,
,,Siberian Rubythroat,,,,,,,,,
,,White-rumped Shama,,,,,,,,,
,,Oriental Magpie-robin,,,,,,,,,
,,Indian Black Robin,,,,,,,,,
,,Brown Rock-chat,,,,,,,,,
,,Black Redstart,,,,,,,,,
,,Phoenicurus ochruros phoenicuroid,,,,,,,,,
,,Isabelline Wheater,,,,,,,,,
,,Desert Wheater,,,,,,,,,
,,Oenanthe p. picata,,,,,,,,,
,,Pied Bushchat,,,,,,,,,
,,Siberian Stonechat,,,,,,,,,
,,Brown-breasted Flycatcher,,,,,,,,,
,,Asian Brown Flycatcher,,,,,,,,,
,,Rusty-tailed Flycatcher,,,,,,,,,
,,Ultramarine Flycatcher,,,,,,,,,
,,Kashmir Flycatcher,,,,,,,,,
,,Red-breasted Flycatcher,,,,,,,,,
,,Red-throated Flycatcher,,,,,,,,,
,,Yellow-rumped Flycatcher,,,,,,,,,
,,Tickell's Blue Flycatcher,,,,,,,,,
,,Verditer Flycatcher,,,,,,,,,
,,White-bellied Blue Flycatcher,,,,,,,,,
,,Yellow-eyed Babbler,,,,,,,,,
,,Tawny-bellied Babbler,,,,,,,,,
,,Common Babbler,,,,,,,,,
,,Large Grey Babbler,,,,,,,,,
,,Jungle Babbler,,,,,,,,,
,,Yellow-billed Babbler,,,,,,,,,
,,Indian Rufous Babbler,,,,,,,,,
,,Indian Schimiter-babbler,,,,,,,,,
,,Brown-checked Fulvetta,,,,,,,,,
,,Puff-throated Babbler,,,,,,,,,
,,Bright-capped Cisticola,,,,,,,,,
,,Grasshopper Warbler,,,,,,,,,
,,Striated Grassbird,,,,,,,,,
,,Bristled Grassbird,,,,,,,,,
,,Ashy Prinia,,,,,,,,,
,,Grey-breasted Prinia,,,,,,,,,
,,Jungle Prinia,,,,,,,,,
,,Plain Prinia,,,,,,,,,
,,Rufous-fronted Prinia,,,,,,,,,
,,Indian Reed-Warbler,,,,,,,,,
,,Blyth's Reed Warbler,,,,,,,,,
,,Paddyfield Warbler,,,,,,,,,
,,Booted Warbler,,,,,,,,,
,,Syke's Warbler,,,,,,,,,
,,Common Tailorbird,,,,,,,,,
,,Green-crowned Warbler,,,,,,,,,
,,Grey-headed Canary-flycatcher,,,,,,,,,
,,Siberian Chiffchaff,,,,,,,,,
,,Sulphur-bellied Warbler,,,,,,,,,
,,Tickell's Leaf-warbler,,,,,,,,,
,,Tytler's Leaf Warbler,,,,,,,,,
,,Greenish Warbler,,,,,,,,,
,,Bright-green Warbler,,,,,,,,,
,,Large-billed Leaf-warbler,,,,,,,,,
,,Western Crowned Warbler,,,,,,,,,
,,Yellow-browed Leaf-warbler,,,,,,,,,
,,Hume's Leaf-warbler,,,,,,,,,
,,Eastern Orphean Warbler,,,,,,,,,
,,Lesser Whitethroat,,,,,,,,,
,,Hume's Whitethroat,,,,,,,,,
,,Cinerous Tit,,,,,,,,,
,,Indian Yellow Tit,,,,,,,,,
,,Indian Spotted Creeper,,,,,,,,,
,,Fire-capped Tit,,,,,,,,,
,,Velvet-fronted Nuthatch,,,,,,,,,
,,Indian Nuthatch,,,,,,,,,
,,Pale-billed Flowerpacker,,,,,,,,,
,,Nilgiri Flowerpecker,,,,,,,,,
,,Thick-billed Flowerpacker,,,,,,,,,
,,Oriental White-eye,,,,,,,,,
,,Purple-rumped Sunbird,,,,,,,,,
,,Small Sunbird,,,,,,,,,
,,Purple Sunbird,,,,,,,,,
,,Loten's Sunbird,,,,,,,,,
,,Vigor's Sunbird,,,,,,,,,
,,Creasted Bunting,,,,,,,,,
,,White-capped Bunting,,,,,,,,,
,,Striolated Bunting,,,,,,,,,
,,Black-headed Bunting,,,,,,,,,
,,Red-headed Bunting,,,,,,,,,
,,Grey-necked Bunting,,,,,,,,,
,,Common Rosefinch,,,,,,,,,
,,Erythrina e. erithryna group,,,,,,,,,
,,Green Avadavat,,,,,,,,,
,,Tricolored Munia,,,,,,,,,
,,Indian Silverbill,,,,,,,,,
,,Red Avadavat,,,,,,,,,
,,Lochura s. striata,,,,,,,,,
,,Scaly-breasted Munia,,,,,,,,,
,,House Sparrow,,,,,,,,,
,,Yellow-throated Sparrow,,,,,,,,,
,,Indian' Baya Weaver,,,,,,,,,
,,Streaked Weaver,,,,,,,,,
,,Black-breasted Weaver,,,,,,,,,
,,Indian Golden Oriole,,,,,,,,,
,,Black-hooded Oriole,,,,,,,,,
,,Black-naped Oriole,,,,,,,,,
,,Black Drongo,,,,,,,,,
,,Ashy Drongo,,,,,,,,,
,,Bronzed Drongo,,,,,,,,,
,,White-bellied Drongo,,,,,,,,,
,,Greater Racket-tailed Drongo,,,,,,,,,
,,Hair-crested Drongo,,,,,,,,,
,,Common Starling,,,,,,,,,
,,Brahminy Starling,,,,,,,,,
,,Rosy Starling,,,,,,,,,
,,Grey-headed Starling,,,,,,,,,
,,Malabar White-headed Starling,,,,,,,,,
,,Malabar White-headed Starling,,,,,,,,,
,,Asian Pied Starling,,,,,,,,,
,,Bank Myna,,,,,,,,,
,,Common Myna,,,,,,,,,
,,Jungle Myna,,,,,,,,,
,,House Crow,,,,,,,,,
,,Indian Jungle Crow,,,,,,,,,
,,Rufous Treepie,,,,,,,,,
