bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image
Platalea leucorodia,Eurasian Spoonbill,"White,Grey,Yellow",M/F,,http://en.wikipedia.org/wiki/Eurasian_Spoonbill
Pseudibis papillosa,Indian Black Ibis (Black Ibis) ,"Brown,Red,White,Grey,Blue,Black",M/F,,http://en.wikipedia.org/wiki/Indian_Black_Ibis
Leptoptilos javanicus,Lesser Adjutant,"Black,Grey,White,Yellow,Orange",M/F,,http://en.wikipedia.org/wiki/Lesser_Adjutant
Leptoptilos dubius,Greater Adjutant,"Black,Grey,White,Yellow,Orange,Pink",M/F,,http://en.wikipedia.org/wiki/Greater_Adjutant
Phoenicopterus minor ,Lesser Flamingo,"Pink,White,Black",M/F,,http://en.wikipedia.org/wiki/Lesser_Flamingo
Phoenicopterus ruber,Greater Flamingo,"Pink,White,Black",M/F,,http://en.wikipedia.org/wiki/Greater_Flamingo
Anser indicus ,Bar-headed Goose,"Grey,White,Black,Brown",M/F,,http://en.wikipedia.org/wiki/Bar-headed_Goose
Dendrocygna bicolor,Fulvous Whistling-duck,"Black,Brown,Grey,White",M/F,,http://en.wikipedia.org/wiki/Fulvous_Whistling-duck
Dendrocygna javanica,Lesser Whistling-duck,"Brown,Black,Grey,Red",M/F,,http://en.wikipedia.org/wiki/Lesser_Whistling-duck
Tadorna tadorna,Common Shelduck (Redbilled Shelduck)    ,"Black,Red,Brown,White",M,,http://en.wikipedia.org/wiki/Common_Shelduck
Tadorna tadorna,Common Shelduck (Redbilled Shelduck)    ,"Black,Red,Brown,White",F,,http://en.wikipedia.org/wiki/Common_Shelduck
Tadorna ferruginea,Ruddy Shelduck,"White,Brown,Red,Orange,Grey,Black,Green",M/F,,http://en.wikipedia.org/wiki/Ruddy_Shelduck
Sarkidiornis melanotos,Comb Duck,"White,Grey,Black,Blue,Green,Purple",M,,http://en.wikipedia.org/wiki/Comb_Duck
Sarkidiornis melanotos,Comb Duck,"White,Grey,Black,Blue,Green,Purple",F,,http://en.wikipedia.org/wiki/Comb_Duck
Anas crecca ,Common Teal,"Black,White,Grey,Brown,Green",M,,http://en.wikipedia.org/wiki/Common_Teal
Anas crecca ,Common Teal,"Brown,Black,Grey,White",F,,http://en.wikipedia.org/wiki/Common_Teal
Anas querquedula,Garganey,"Black,Brown,Grey,White,Green",M,,http://en.wikipedia.org/wiki/Garganey
Anas querquedula,Garganey,"Brown,Grey,Black,White",F,,http://en.wikipedia.org/wiki/Garganey
Anas strepera,Gadwall,"Brown,Grey,Black,White",M,,http://en.wikipedia.org/wiki/Anas_strepera
Anas strepera,Gadwall,"Brown,Grey,Black,White",F,,http://en.wikipedia.org/wiki/Anas_strepera
Anas penelope,Eurasian Wigeon,"Brown,Grey,Black,White,Orange,Green",M,,http://en.wikipedia.org/wiki/Eurasian_Wigeon
Anas penelope,Eurasian Wigeon,"Brown,Grey,Black,White",F,,http://en.wikipedia.org/wiki/Eurasian_Wigeon
Anas clypeata ,Northern Shoveller,"Black,White,Brown,Grey,Green,Orange",M,,http://en.wikipedia.org/wiki/Northern_Shoveller
Anas clypeata ,Northern Shoveller,"Brown,Grey,Black,White",F,,http://en.wikipedia.org/wiki/Northern_Shoveller
Anas acuta ,Northern Pintail,"Black,Grey,White,Brown",M,,http://en.wikipedia.org/wiki/Anas_acuta
Anas acuta ,Northern Pintail,"Black,Grey,White,Brown",F,,http://en.wikipedia.org/wiki/Anas_acuta
Anas poecilorhyncha ,Indian Spot-billed Duck (Spot-billed Duck),"Black,Grey,White,Brown,Green,Red",M,,http://en.wikipedia.org/wiki/Spot-billed_Duck
Anas poecilorhyncha ,Indian Spot-billed Duck (Spot-billed Duck),"Black,Grey,White,Brown",F,,http://en.wikipedia.org/wiki/Spot-billed_Duck
Anas platyrhynchos ,Mallard,"Black,Brown,Grey,White,Green,Blue,Purple",M,,http://en.wikipedia.org/wiki/Anas_platyrhynchos
Anas platyrhynchos ,Mallard,"Brown,Grey,Black,White,Purple,Blue ",F,,http://en.wikipedia.org/wiki/Anas_platyrhynchos
Aythya fuligula,Tufted Duck (Tufted Pochard),"Black,White,Grey",M,,http://en.wikipedia.org/wiki/Aythya_fuligula
Aythya fuligula,Tufted Duck (Tufted Pochard),"Black,Brown,Grey",F,,http://en.wikipedia.org/wiki/Aythya_fuligula
Aythya  ferina ,Common Pochard,"Black,Grey,White,Brown",M,,http://en.wikipedia.org/wiki/Common_Pochard
Aythya  ferina ,Common Pochard,"Brown,Grey,White",F,,http://en.wikipedia.org/wiki/Common_Pochard
Rhodonessa rufina,Red-crested Pochard,"Black,Grey,White,Brown,Orange",M,,http://en.wikipedia.org/wiki/Red-crested_Pochard
Rhodonessa rufina,Red-crested Pochard,"Brown,White,Grey",F,,http://en.wikipedia.org/wiki/Red-crested_Pochard
,Pink-headed Duck,Extinct,,,
,Pink-headed Duck,Extinct,,,
Nettapus coromandelianus,Cotton Teal (Cotton Pygmy-goose),"Black,White,Grey,Green",M,,http://en.wikipedia.org/wiki/Nettapus_coromandelianus
Nettapus coromandelianus,Cotton Teal (Cotton Pygmy-goose),"Brown,Black,Grey",F,,http://en.wikipedia.org/wiki/Nettapus_coromandelianus
Aviceda leuphotes ,Black Baza,"Black,Brown,White",M/F,,http://en.wikipedia.org/wiki/Black_Baza
Accipiter virgatus,Besra Sparrowhawk,"Black,Brown,Red,White,Grey,Orange",M/F,,http://en.wikipedia.org/wiki/Besra_Sparrowhawk
Accipiter trivirgatus,Crested Goshawk,"Brown,White,Grey,Black",M,,http://en.wikipedia.org/wiki/Crested_Goshawk
Accipiter trivirgatus,Crested Goshawk,"Brown,White,Grey,Black",F,,http://en.wikipedia.org/wiki/Crested_Goshawk
Buteo buteo,"Steppe Buzzard (Eurasian Buzzard,Common Buzzard)","Brown,White,Black,Grey",M/F,,http://en.wikipedia.org/wiki/Buteo_buteo
Buteo rufinus ,Long-legged Buzzard,"Brown,Black,White,Grey,Red",M/F,,http://en.wikipedia.org/wiki/Buteo_rufinus
Pernis ptilorhyncus ,Oriental Honey-buzzard,"Brown,White,Black,Grey",M/F,,http://en.wikipedia.org/wiki/Oriental_Honey-buzzard
Butastur teesa,White-eyed Buzzard,"Brown,White,Black,Grey",M/F,,http://en.wikipedia.org/wiki/Butastur_teesa
Circaetus gallicus,Short-toed Eagle (Short-toed Snake-Eagle),"Brown,White,Black,Grey",M/F,,http://en.wikipedia.org/wiki/Circaetus_gallicus
Hieraaetus kienerii ,Rufous-bellied Eagle,"Brown,White,Black,Grey,Orange,Red",M/F,,http://en.wikipedia.org/wiki/Rufous-bellied_Eagle
Ictinaetus malayensis ,Black Eagle,"Black,Grey,Brown",M/F,,http://en.wikipedia.org/wiki/Ictinaetus_malayensis
Aquila clanga ,Greater Spotted Eagle,"Brown,White,Black,Grey",M/F,,http://en.wikipedia.org/wiki/Greater_Spotted_Eagle
Aquila nipalensis ,Steppe Eagle,"Brown,White,Black,Grey,Yellow",M/F,,http://en.wikipedia.org/wiki/Steppe_Eagle
