bird_sci_name,bird_comm_eng_name,bird_body_colours,bird_sex,bird_size,bird_image
Strix ocellata,Mottled Wood-owl,"Brown,White,Grey",M/F,Kite - ,http://en.wikipedia.org/wiki/Mottled_Wood_Owl
Otus bakkamoena,Indian Scops-Owl (Collared Scops-owl),"Brown,Black,Grey",M/F,Crow -,http://en.wikipedia.org/wiki/Indian_Scops_Owl
Otus sunia ,Oriental Scops-owl,"Brown,Grey,White",M/F,Myna +,http://en.wikipedia.org/wiki/Oriental_Scops_Owl
Athene brama ,Spotted Owlet,"Brown,Grey,White",M/F,Myna +,http://en.wikipedia.org/wiki/Spotted_Owlet
Glaucidium radiatum,Jungle Owlet,"White,Brown,Grey",M/F,Myna +,Jungle Owlet
Tachymarptis melba,Alpine Swift,"Brown,White",M/F,Sparrow +,http://en.wikipedia.org/wiki/Alpine_Swift
Cypsiurus balasiensis,Asian Palm-Swift,Brown,M/F,Sparrow +,http://en.wikipedia.org/wiki/Asian_Palm_Swift
Hemiprocne coronata,Crested Treeswift,"Grey,White,Brown,Black",M,Sparrow +,http://en.wikipedia.org/wiki/Crested_Treeswift
Hemiprocne coronata,Crested Treeswift,"Grey,White,Black",F,Sparrow +,http://en.wikipedia.org/wiki/Crested_Treeswift
Apus affinis,Little Swift (House Swift),"Grey,Black,White,Grey",M/F,Sparrow,http://en.wikipedia.org/wiki/House_Swift
Coracias benghalensis,Indian Roller,"Brown,Blue",M/F,Pigeon -,http://en.wikipedia.org/wiki/Indian_Roller
Halcyon smyrnensis ,White-throated Kingfisher,"Blue,Brown,White",M/F,Myna +,http://en.wikipedia.org/wiki/White-throated_Kingfisher
Alcedo atthis ,Common Kingfisher,"Blue,Brown,White",M/F,Sparrow +,http://en.wikipedia.org/wiki/Common_Kingfisher
Ceryle rudis,Lesser Pied Kingfisher (Pied Kingfisher),"Black,White",M/F,Myna,http://en.wikipedia.org/wiki/Pied_Kingfisher
Merops orientalis ,Little Green Bee-eater (Green Bee-eater),"Green,Brown",M/F,Myna -,http://en.wikipedia.org/wiki/Little_Green_Bee-eater
Megalaima zeylanica,Brown-headed Barbet,"Green,Brown,Green,Orange,White",M/F,Myna +,http://en.wikipedia.org/wiki/Brown-headed_Barbet
Megalaima haemacephala,Coppersmith Barbet,"Green,Yellow,Red,Black,White",M/F,Sparrow,http://en.wikipedia.org/wiki/Coppersmith_Barbet
Megalaima viridis ,White-cheeked Barbet,"Green,Brown,White",M/F,Myna,http://en.wikipedia.org/wiki/White-cheeked_Barbet
Upupa epops,Common Hoopoe,"Brown,Black,White",M/F,Myna +,http://en.wikipedia.org/wiki/Common_Hoopoe
Ocyceros birostris,Indian Grey Hornbill,"Grey,Brown,White,Yellow",M/F,Kite,http://en.wikipedia.org/wiki/Indian_Grey_Hornbill
Dinopium benghalense,Black-rumped Flameback,"Red,Black,Brown,White,Yellow",M,Myna,http://en.wikipedia.org/wiki/Black-rumped_Flameback
Dinopium benghalense,Black-rumped Flameback,"Yellow,Black,Brown,White",F,Myna,http://en.wikipedia.org/wiki/Black-rumped_Flameback
Dinopium javanense,Common Flameback,"Yellow,Red,Black,White,Brown",M/F,Myna,http://en.wikipedia.org/wiki/Common_Flameback
Dendrocopus nanus,Indian Pygmy Woodpecker (Brown-capped Pygmy Woodpecker),"Brown,White,Red,Grey",M,Sparrow +,http://en.wikipedia.org/wiki/Brown-capped_Pygmy_Woodpecker
Dendrocopus nanus,Indian Pygmy Woodpecker (Brown-capped Pygmy Woodpecker),"Brown,White,Grey",F,Sparrow +,http://en.wikipedia.org/wiki/Brown-capped_Pygmy_Woodpecker
Dendrocopos mahrattensis ,Yellow-fronted Pied Woodpecker (Yellow-crowned Woodpecker),"Brown,Black,White,Yellow,Orange,Red",M/F,Sparrow +,http://en.wikipedia.org/w/index.php?search=Yellow-fronted+Pied+Woodpecker&title=Special%3ASearch
Aegithina tiphia ,Common Iora      ,"Yellow,Black,White",M/F,Sparrow,http://en.wikipedia.org/wiki/Common_Iora
Oriolus oriolus,European Golden Oriole (Eurasian Golden Oriole),"Yellow,Black",M,Myna +,http://en.wikipedia.org/wiki/Eurasian_Golden_Oriole
Oriolus oriolus,European Golden Oriole (Eurasian Golden Oriole),"Yellow,Brown,Black",F,Myna +,http://en.wikipedia.org/wiki/Eurasian_Golden_Oriole
Eremopterix grisea,Ashy-crowned Finch-Lark (Ashy-crowned Sparrow lark),"Black,Brown,White,Grey",M,Sparrow,http://en.wikipedia.org/wiki/Ashy-crowned_Finch-Lark
Eremopterix grisea,Ashy-crowned Finch-Lark (Ashy-crowned Sparrow lark),"Brown,White,Grey",F,Sparrow,http://en.wikipedia.org/wiki/Ashy-crowned_Finch-Lark
Mirafra cantillans,Singing Bushlark,"Brown,White",M/F,Sparrow,http://en.wikipedia.org/wiki/Singing_Bushlark
Calandrella brachydactyla,Greater Short-toed Lark,"Brown,White",M/F,Sparrow +,http://en.wikipedia.org/wiki/Greater_Short-toed_Lark
Galerida malabarica,Malabar Lark (Crested Lark),"Brown,White",M/F,Sparrow +,http://en.wikipedia.org/w/index.php?search=Crested+Lark%29&title=Special%3ASearch
Hirundo rustica,Barn Swallow,"Blue,Brown,Black",M/F,Sparrow +,http://en.wikipedia.org/wiki/Barn_Swallow
Hirundo daurica,Red-rumped Swallow,"Blue,White,Brown",M/F,Sparrow +,http://en.wikipedia.org/wiki/Red-rumped_Swallow
Hirundo fluvicola,Streak-throated Swallow,"Brown,Blue,White,Black",M/F,Sparrow,http://en.wikipedia.org/wiki/Streak-throated_Swallow
Hirundo smithii ,Wire-tailed Swallow,"Blue,White,Brown",M/F,Sparrow,http://en.wikipedia.org/wiki/Wire-tailed_Swallow
Hirundo concolor ,Dusky Crag-martin,Brown,M/F,Sparrow -,http://en.wikipedia.org/wiki/Dusky_Crag-martin
Hirundo rupestris ,Eurasian Crag-martin,"Brown,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Eurasian_Crag-martin
Riparia paludicola,Grey-throated Sand-martin (Plain Martin),"Brown,White,Grey",M/F,Sparrow - ,http://en.wikipedia.org/wiki/Grey-throated_Sand-martin
Dicrurus leucophaeus,Ashy Drongo,"Grey,Black",M/F,Myna +,http://en.wikipedia.org/wiki/Ashy_Drongo
Dicrurus macrocercus,Black Drongo,"Black,Grey",M/F,Myna +,http://en.wikipedia.org/wiki/Black_Drongo
Dicrurus caerulescens,White-bellied Drongo,"Black,White,Grey",M/F,Myna,http://en.wikipedia.org/wiki/White-bellied_Drongo
Lanius vittatus,Bay-backed Shrike,"Brown,Black,White,Grey",M/F,Sparrow +,http://en.wikipedia.org/wiki/Bay-backed_Shrike
Lanius schach,Black-headed Long-tailed Shrike,"Orange,White,Black",M/F,Myna -,http://en.wikipedia.org/wiki/Long-tailed_Shrike
Lanius cristatus,Brown Shrike,"Brown,White,Black",M/F,Myna -,http://en.wikipedia.org/wiki/Brown_Shrike
Lanius isabellinus,Isabelline Shrike (Rufous-tailed Shrike),"Brown,Black,White",M/F,Myna -,http://en.wikipedia.org/wiki/Isabelline_Shrike
Tephrodornis pondicerianus,Common Woodshrike,"Brown,White,Grey",M/F,Myna -,http://en.wikipedia.org/wiki/Common_Woodshrike
Lanius meridionalis,Southern Grey Shrike,"Grey,White,Black",M/F,Myna -,http://en.wikipedia.org/wiki/Southern_Grey_Shrike
Acridotheres tristis ,Common Myna,"Brown,Black,White,Yellow",M/F,Myna,http://en.wikipedia.org/wiki/Common_Myna
Acridotheres fuscus,Jungle Myna,"Grey,Black,White,Grey",M/F,Myna,http://en.wikipedia.org/wiki/Jungle_Myna
Sturnus malabaricus ,Grey-headed Starling (Chestnut-tailed Starling),"Brown,Grey,Orange,White",M/F,Myna -,http://en.wikipedia.org/wiki/Grey-headed_Starling
Sturnus roseus,Rosy Starling,"Pink,Black,Grey",M/F,Myna,http://en.wikipedia.org/wiki/Rosy_Starling
Dendrocitta vagabunda,Rufous Treepie,"Black,Grey,White,Brown",M/F,Pigeon +,http://en.wikipedia.org/wiki/Rufous_Treepie
Corvus splendens,House Crow,"Grey,Black",M/F,Crow,http://en.wikipedia.org/wiki/House_Crow
Corvus macrorhynchos ,Indian Jungle Crow (Large-billed Crow) ,"Black,Grey",M/F,Hen +,http://en.wikipedia.org/wiki/Large-billed_Crow
Coracina melanoptera,Black-headed Cuckooshrike,"Grey,Black,White",M,Sparrow ,http://en.wikipedia.org/wiki/Black-headed_Cuckooshrike
Coracina melanoptera,Black-headed Cuckooshrike,"Grey,Brown,White",F,Sparrow ,http://en.wikipedia.org/wiki/Black-headed_Cuckooshrike
Pericrocotus cinnamomeus,Small Minivet,"Grey,Orange,Yellow,Black",M,Sparrow +,http://en.wikipedia.org/wiki/Small_Minivet
Pericrocotus cinnamomeus,Small Minivet ,"Grey,Yellow,Black",F,Sparrow +,http://en.wikipedia.org/wiki/Small_Minivet
Pycnonotus cafer ,Red-vented Bulbul,"Brown,Black,Red",M/F,Myna -,http://en.wikipedia.org/wiki/Red-vented_Bulbul
Pycnonotus jocosus ,Red-whiskered Bulbul,"Brown,White,Red",M/F,Myna -,http://en.wikipedia.org/wiki/Red-whiskered_Bulbul
Pellorneum ruficeps ,Puff-throated Babbler,"Brown,White",M/F,Sparrow +,http://en.wikipedia.org/wiki/Puff-throated_Babbler
Dumetia hyperythra,Tawny-bellied Babbler,"Brown,Orange,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Tawny-bellied_Babbler
Pomatorhinus horsfieldii ,Indian Scimitar-babbler,"Brown,White",M/F,Myna,http://en.wikipedia.org/wiki/Indian_Scimitar-babbler
Turdoides striatus,Jungle Babbler,"Brown,Grey",M/F,Myna +,http://en.wikipedia.org/wiki/Jungle_Babbler
Turdoides caudatus,Common Babbler,"Brown,White",M/F,Myna +,http://en.wikipedia.org/wiki/Common_Babbler
Turdoides malcolmi,Large Grey Babbler,Brown,M/F,Myna +,http://en.wikipedia.org/wiki/Large_Grey_Babbler
Muscicapa dauurica,Asian Brown Flycatcher,"White,Brown",M/F,Sparrow,http://en.wikipedia.org/wiki/Asian_Brown_Flycatcher
Ficedula parva,Red-breasted Flycatcher (Red-throated Flycatcher),"White,Orange,Grey,Brown",M,Sparrow -,http://en.wikipedia.org/wiki/Red-breasted_Flycatcher
Ficedula parva,Red-breasted Flycatcher (Red-throated Flycatcher),"White,Grey,Brown",F,Sparrow -,http://en.wikipedia.org/wiki/Red-breasted_Flycatcher
Ficedula superciliaris,Ultramarine Flycatcher,"Blue,White,Brown,Grey",M,Sparrow - ,http://en.wikipedia.org/wiki/Ultramarine_Flycatcher
Ficedula superciliaris,Ultramarine Flycatcher,"White,Brown,Grey",F,Sparrow - ,http://en.wikipedia.org/wiki/Ultramarine_Flycatcher
Cyornis tickelliae,Tickell’s Blue Flycatcher,"Blue,Orange,White,Black",M,Sparrow,http://en.wikipedia.org/wiki/Tickell%27s_Blue_Flycatcher
Cyornis tickelliae,Tickell’s Blue Flycatcher,"Blue,Orange,Brown,Black",F,Sparrow,http://en.wikipedia.org/wiki/Tickell%27s_Blue_Flycatcher
Eumyias thalassina,Verditer Flycatcher,"Blue,Grey,Black",M,Sparrow +,http://en.wikipedia.org/wiki/Verditer_Flycatcher
Eumyias thalassina,Verditer Flycatcher,"Blue,Grey,Black",F,Sparrow +,http://en.wikipedia.org/wiki/Verditer_Flycatcher
Terpsiphone paradisi,Asian Paradise-flycatcher,"White,Black,Brown,Grey,Blue",M,Sparrow +,http://en.wikipedia.org/wiki/Asian_Paradise-flycatcher
Terpsiphone paradisi,Asian Paradise-flycatcher,"Brown,Black,Grey,Blue",F,Sparrow +,http://en.wikipedia.org/wiki/Asian_Paradise-flycatcher
Rhipidura albicollis,White-throated Fantail,"White,Black,Brown",M/F,Sparrow +,http://en.wikipedia.org/wiki/White-throated_Fantail
Prinia socialis,Ashy Prinia,"Grey,Orange,Brown",M/F,Sparrow -,http://en.wikipedia.org/wiki/Ashy_Prinia
Prinia hodgsonii,Grey-breasted Prinia,"Grey,White,Brown",M/F,Sparrow - ,http://en.wikipedia.org/wiki/Grey-breasted_Prinia
Prinia sylvatica,Jungle Prinia,"Brown,White,Grey",M/F,Sparrow,http://en.wikipedia.org/wiki/Jungle_Prinia
Prinia inornata,Plain Prinia,"Brown,White,Grey",M/F,Sparrow -,http://en.wikipedia.org/wiki/Plain_Prinia
Acrocephalus dumetorum ,Blyth’s Reed-warbler,"Green,Grey",M/F,Sparrow -,http://en.wikipedia.org/wiki/Blyth%27s_Reed_Warbler
Hippolais caligata,Booted Warbler,"Brown,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Booted_Warbler
Acrocephalus stentoreus,Indian Reed-warbler (Clamorous Reed Warbler),"Brown,White",M/F,Sparrow +,http://en.wikipedia.org/wiki/Special:Search/Indian_Reed-warbler
Orthotomus sutorius,Common Tailorbird,"Green,White,Brown",M/F,Sparrow - ,http://en.wikipedia.org/wiki/Common_Tailorbird
Sylvia curruca,Lesser Whitethroat,"Brown,White,Grey",M/F,Sparrow,http://en.wikipedia.org/wiki/Lesser_Whitethroat
Phylloscopus trochiloides,Greenish Warbler,"Green,Grey,White,Yellow,Black",M/F,Sparrow -,http://en.wikipedia.org/wiki/Greenish_Warbler
Phylloscopus collybita,Siberian Chiffchaff (Common Chiffchaff),"Green,Brown,Yellow,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Siberian_Chiffchaff
Phylloscopus humei,Hume’s Leaf-warbler (Hume's Warbler),"Green,Brown,White,Yellow,Grey",M/F,Sparrow -,http://en.wikipedia.org/wiki/Hume%27s_Leaf-warbler
Phylloscopus griseolus,Sulphur-bellied Warbler,"Yellow,Brown",M/F,Sparrow - ,http://en.wikipedia.org/wiki/Sulphur-bellied_Warbler
Phoenicurus ochruros,Black Redstart,"Black,Brown,Grey",M,Sparrow +,http://en.wikipedia.org/wiki/Black_Redstart
Phoenicurus ochruros,Black Redstart,"Brown,Grey",F,Sparrow +,http://en.wikipedia.org/wiki/Black_Redstart
Copsychus saularis,Oriental Magpie-robin,"Black,White,Grey",M,Sparrow +,http://en.wikipedia.org/wiki/Oriental_Magpie-robin
Copsychus saularis,Oriental Magpie-robin,"Grey,White",F,Sparrow +,http://en.wikipedia.org/wiki/Oriental_Magpie-robin
Saxicoloides fulicata ,Indian Black Robin (Indian Robin),"Black,Brown",M,Sparrow,http://en.wikipedia.org/wiki/Indian_Robin
Saxicoloides fulicata ,Indian Black Robin (Indian Robin),Brown,F,Sparrow,http://en.wikipedia.org/wiki/Indian_Robin
Saxicola torquata,Common Stonechat,"Brown,White,Black",M,Sparrow - ,http://en.wikipedia.org/wiki/Common_Stonechat
Saxicola torquata,Common Stonechat,"Brown,White,Black",F,Sparrow - ,http://en.wikipedia.org/wiki/Common_Stonechat
Saxicola caprata  ,Pied Bushchat,"Black,White",M,Sparrow -,http://en.wikipedia.org/wiki/Pied_Bushchat
Saxicola caprata  ,Pied Bushchat,"Brown,White",F,Sparrow -,http://en.wikipedia.org/wiki/Pied_Bushchat
Monticola solitarius,Blue Rock-Thrush,"Blue,Brown,Grey,White",M,Myna +,http://en.wikipedia.org/wiki/Blue_Rock-Thrush
Monticola solitarius,Blue Rock-Thrush,"Brown,Grey,White",F,Myna +,http://en.wikipedia.org/wiki/Blue_Rock-Thrush
Turdus merula,Common Blackbird (Eurasian Blackbird),"Grey,Black,Yellow",M,Myna +,http://en.wikipedia.org/wiki/Common_Blackbird
Turdus merula,Common Blackbird (Eurasian Blackbird),"Brown,Grey,Yellow",F,Myna +,http://en.wikipedia.org/wiki/Common_Blackbird
Parus xanthogenys,Black-lored Yellow Tit (Black-lored Tit),"Yellow,Black,White,Grey",M,Sparrow,http://en.wikipedia.org/wiki/Black-lored_Yellow_Tit
Parus xanthogenys,Black-lored Yellow Tit (Black-lored Tit),"Yellow,Black,White,Grey",F,Sparrow,http://en.wikipedia.org/wiki/Black-lored_Yellow_Tit
Parus major ,Great Tit,"Grey,White,Black",M/F,Sparrow -,http://en.wikipedia.org/wiki/Great_Tit
Anthus rufulus,Paddyfield Pipit,"Brown,White,Black",M/F,Sparrow +,http://en.wikipedia.org/wiki/Paddyfield_Pipit
Anthus trivialis,Tree Pipit,"Brown,White,Black",M/F,Sparrow +,http://en.wikipedia.org/wiki/Tree_Pipit
Motacilla cineria,Grey Wagtail,"Grey,Yellow,White",M/F,Sparrow +,http://en.wikipedia.org/wiki/Grey_Wagtail
Motacilla alba dukhunensis ,White Wagtail,"White,Grey,Black",M/F,Sparrow +,http://en.wikipedia.org/wiki/White_Wagtail
Motacilla maderaspatensis ,White-browed Wagtail,"Black,White,Grey",M/F,Myna -,http://en.wikipedia.org/wiki/White-browed_Wagtail
Nectarinia lotenia,Loten’s Sunbird,"Blue,Brown,Purple",M,Sparrow -,http://en.wikipedia.org/wiki/Loten%27s_Sunbird
Nectarinia lotenia,Loten’s Sunbird,"Yellow,Brown,White",F,Sparrow -,http://en.wikipedia.org/wiki/Loten%27s_Sunbird
Nectarinia asiatica ,Purple Sunbird,"Blue,Black,Brown",M,Sparrow -,http://en.wikipedia.org/wiki/Purple_Sunbird
Nectarinia asiatica ,Purple Sunbird,"Yellow,Brown",F,Sparrow -,http://en.wikipedia.org/wiki/Purple_Sunbird
Nectarinia zeylonica,Purple-rumped Sunbird,"Yellow,Brown,Green,Purple,Blue,Grey",M,Sparrow - ,http://en.wikipedia.org/wiki/Purple-rumped_Sunbird
Nectarinia zeylonica,Purple-rumped Sunbird,"Yellow,Brown,Grey",F,Sparrow - ,http://en.wikipedia.org/wiki/Purple-rumped_Sunbird
Zosterops palpebrosus,Oriental White-eye,"Yellow,Green,White,Grey",M/F,Sparrow - ,http://en.wikipedia.org/wiki/Oriental_White-eye
Dicaeum concolor,Nilgiri Flowerpecker (Plain Flowerpecker),"Brown,Green,Yellow",M/F,Sparrow -,http://en.wikipedia.org/wiki/Nilgiri_Flowerpecker
Dicaeum erythrorynchos ,Pale-billed Flowerpecker,"Green,Brown,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Pale-billed_Flowerpecker
Dicaeum agile,Thick-billed Flowerpecker ,"Green,Brown,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Thick-billed_Flowerpecker
Lonchura punctulata ,Scaly-breasted Munia,"Brown,White",M/F,Sparrow -,http://en.wikipedia.org/wiki/Scaly-breasted_Munia
Amandava amandava,Red Avadavat,"Red,Brown,White",M,Sparrow -,http://en.wikipedia.org/wiki/Scaly-breasted_Munia
Amandava amandava,Red Avadavat,"Brown,White,Red",F,Sparrow -,http://en.wikipedia.org/wiki/Scaly-breasted_Munia
Lonchura malabarica,Indian Silverbill,"White,Brown,Black",M/F,Sparrow -,http://en.wikipedia.org/wiki/Indian_Silverbill
Passer domesticus ,House Sparrow,"Brown,Grey,Black,White",M/F,Sparrow,http://en.wikipedia.org/wiki/House_Sparrow
Petronia xanthocollis ,Yellow-throated Sparrow (Chestnut-shouldered petronia),"Brown,Yellow,White",M,Sparrow,http://en.wikipedia.org/wiki/Yellow-throated_Sparrow
Petronia xanthocollis ,Yellow-throated Sparrow (Chestnut-shouldered petronia),"Brown,White",F,Sparrow,http://en.wikipedia.org/wiki/Yellow-throated_Sparrow
Ploceus philippinus,Indian Baya Weaver (Baya Weaver),"Yellow,Brown,Black,White",M,Sparrow,http://en.wikipedia.org/wiki/Baya_Weaver
Ploceus philippinus,Indian Baya Weaver (Baya Weaver),"Brown,Black,White",F,Sparrow,http://en.wikipedia.org/wiki/Baya_Weaver
